ANO,REGIAO,UF,MUNICIPIO,AREA,DEPENDENCIA_ADM,LOCALIZACAO,NOTA_LP,NOTA_MT,SEXO,RACA_COR,IDADE,COMPUTADOR,MORA_MÃE,MORA_PAI,REUNIÕES_ESCOLARES,USO_TEMPO_TELAS,AFAZERES_DOM,BIBLIOTECA
2017,4,42,4207759,2,3,1,208.903302,249.916425,A,C,D,B,A,A,B,B,D,A
2017,3,33,3304557,1,3,1,196.466361,231.66758,B,F,C,B,A,A,B,A,A,B
2017,3,33,3304557,1,3,1,244.612175,244.163372,B,F,C,E,B,A,A,B,A,A
2017,2,27,2708808,2,3,2,118.395705,147.068003,B,B,E,C,A,A,B,D,A,A
2017,5,51,5103403,1,3,1,225.700662,195.507368,A,C,C,B,A,B,B,B,E,C
2017,4,42,4219507,2,3,1,287.732263,231.270354,B,A,D,C,A,A,A,A,B,B
2017,4,42,4216909,2,3,1,273.755848,294.424492,A,A,D,B,A,A,A,D,B,A
2017,4,42,4209102,2,3,1,255.324143,278.888717,A,A,C,B,A,A,C,C,B,A
2017,3,31,3136702,2,3,1,137.013681,149.131939,B,B,C,A,A,B,A, ,A,B
2017,1,13,1301852,2,3,2,147.895446,172.689996,A,B, , , ,B,C,C, ,B
2017,2,29,2927408,1,3,1,127.475036,192.65781,B, ,D,B,A,A,C,B,D,B
2017,2,21,2103000,2,3,1,237.336215,203.47426,B,A,D,A,A,B,B,D,A,C
2017,2,21,2100055,2,3,1,181.744974,170.858516,B,C,D,B,A,A,A,A,D,A
2017,2,23,2304400,1,3,1,278.749345,267.336052,A,A,C,B,A,A,A,D,A,B
2017,1,15,1506187,2,3,2,228.413569,280.32677,A,F,D,A,A,B,A,C,A,C
2017,2,29,2927408,1,3,1,247.657351,273.241523,A,F,C,A,A,B,A,C,D,C
2017,3,33,3303708,2,3,1,167.832302,214.696154,B,B,D,B,A,B,B,D,A,C
2017,3,35,3522109,2,3,1,253.484906,207.571727,A,B,C,A,A,B,B,D,E,B
2017,2,25,2507507,1,2,1,216.628383,222.150179,B,A,D,A, ,A,B,C,A,C
2017,2,29,2910057,2,3,1,262.533275,250.048108,A,A,D,A,A,A,A,B,C,B
2017,3,33,3304557,1,3,1,193.10809,179.443913,B,B,C,D,A,B,B,D,D,B
2017,3,33,3303401,2,3,1,262.405348,265.321748,B,C,D,B,A,C,B,B,B,B
2017,2,29,2903904,2,3,1,252.371028,248.953904,B,C,D,A,A,A,A, , ,A
2017,3,33,3304557,1,3,1,240.594987,224.15213,B,F,C,B,A,A,A,A,D,B
2017,1,16,1600279,2,3,1,163.695451,173.108294,A,A,C,A,A,A,A,A,C,B
2017,3,31,3152204,2,2,1,219.734161,218.967223,B,A,D,B,A,A,B,D,C,A
2017,3,31,3157807,2,3,1,180.773622,248.8704,A,C,D,A,A,A,B,C,E,B
2017,3,33,3304201,2,3,1,145.977756,171.082365,A,F,D,A,A,C,B,D,A,A
2017,2,21,2104552,2,3,2,132.163041,211.858333,A,B,G, ,A,A,A,A,B,A
2017,3,35,3550308,1,2,1,305.429628,326.006843,B,E,C,D,A,A,B,C,B,B
2017,2,26,2607653,2,3,1,187.467521,193.159779,B,C,C,A,A,A,B,C,A,A
2017,1,15,1502939,2,3,1,182.428517,285.490159,A,A,D,A,B,B,A,A,D,B
2017,1,15,1505536,2,3,1,182.427525,198.96347,B,C,C,A,A,A,C,A,A,A
2017,5,50,5003801,2,2,1,172.189526,164.469576,B,C,F,B,A,B,B,B,B,B
2017,3,35,3507605,2,3,1,254.715637,253.358331,B,C,D,A,A,B,A,B,A,B
2017,5,52,5218805,2,3,1,247.37395,210.457392,B,C,C,A,A,A,A,B,A,C
2017,5,52,5210406,2,3,1,272.001951,262.233138,B,A,D,A,A,A,A,D,A,C
2017,2,25,2502151,2,3,1,169.272442,230.797784,B,A,E,A,A,A,A,A,D,A
2017,3,31,3128808,2,3,1,264.779872,238.764341,B,A,C,A,A,A,B,A,B,B
2017,3,32,3204054,2,3,1,160.353157,187.268336,B,C,C,A,A,A,A, ,B,A
2017,3,35,3550308,1,3,1,201.698467,204.773031,B,A,D,B,A,A,A,D,B,B
2017,4,42,4202008,2,3,1,208.764356,175.731545,B,B,C,B,A,A,C,D,A,B
2017,3,35,3516200,2,2,1,302.169644,303.499562,A,A,D,A,A,B,A,B,E,A
